topic,name,color,page
The reds of the red caps in Renaissance portraits,A Boy in a Scarlet Cap,"16, 100, 100, 6",14
The reds of the red caps in Renaissance portraits,A Young Man in a Red Cap,"30, 90, 84, 33",14
The reds of the red caps in Renaissance portraits,An Old Man and His Grandson,"24, 100, 100, 20",14
The reds of the red caps in Renaissance portraits,Portrait of a Young Man,"12, 100, 100, 3",14
The reds of the red caps in Renaissance portraits,Portrait of a Youth,"20, 100, 100, 12",14
The reds of the red caps in Renaissance portraits,Portrait of a Man in a Red Cap ,"30, 89, 95, 34",14
The reds of the red caps in Renaissance portraits,Portrait of a Young Man ,"24, 76, 96, 15",14
The reds of the red caps in Renaissance portraits,"Portrait of a Young Man, Bust Length, in a Red Cap","30, 92, 90, 34",14
The reds of the red caps in Renaissance portraits,Portrait of a Woman with Red Cap,"0, 95, 100, 0",14
The reds of the red caps in Renaissance portraits,Portrait of Dr.Johannes Cuspinian,"14, 84, 71, 3",14
The reds of the red caps in Renaissance portraits,Portrait of a Young Man,"18, 86, 100, 7",14
The reds of the red caps in Renaissance portraits,Self Portrait ,"7, 97, 100, 0",14
The reds of the red caps in Renaissance portraits,Portrait of a Young Man,"30, 85, 85, 30",14
The reds of the red caps in Renaissance portraits,Portrait of a Young Man in a Red Cap,"7, 91, 100, 7",14
The reds of the red caps in Renaissance portraits,Portrait of Tommaso lnghirami,"19, 88, 82, 8",14
The reds of the red caps in Renaissance portraits,Young Man in a Red Cap,"26, 74, 72, 14",14
The reds of the red caps in Renaissance portraits,The Duke and Duchess of Urbino,"20, 87, 96, 10",14
The reds of the red caps in Renaissance portraits,Portrait of Francesco Sforza,"19, 91, 100, 9",14
The reds of the red caps in Renaissance portraits,Portrait of a Man in a Red Cap,"38, 91, 90, 62",14
The reds of the red caps in Renaissance portraits,Portrait of an Unknown Man with Red Beret,"31, 92, 90, 41",14
The blush of Madame de Pompadour's cheeks,Portrait of Madame de Pompadour,"11, 27, 33, 0",20
The blush of Madame de Pompadour's cheeks,Portrait of Madame de Pompadour with a Fur Muff,"25, 41, 38, 0",20
The blush of Madame de Pompadour's cheeks,"Portrait de Jeanne-Antoinette, Madame Pompadour","5, 17, 19, 0",20
The blush of Madame de Pompadour's cheeks,Madame de Pompadour as Diane the Huntress,"16, 55, 63, 0",20
The blush of Madame de Pompadour's cheeks,"Jeanne-Antoinette Poisson,Marquise de Pompadour","11, 31, 27, 0",20
The blush of Madame de Pompadour's cheeks,Madame de Pompadour,"19, 44, 54, 0",20
The blush of Madame de Pompadour's cheeks,Madame de Pompadour at Her Dressing Table,"27, 45, 55, 3",20
The blush of Madame de Pompadour's cheeks,Madame de Pompadour at Her Tambour Frame,"23, 54, 33, 0",20
